"Name";"English name";"Other name";"Genres";"Synopsis";"Type";"Episodes";"Aired";"Year";"Status";"Producers";"Licensors";"Studios";"Source";"Duration";"Image URL"
"Neoui Moseub";"Imagine";"너의 모습";"Romance";"Music video for the song Neoui Moseub by Jung Dong-ha.";"Music";"1";"2021/10/04";"2021.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"4";"https://cdn.myanimelist.net/images/anime/1227/121680.jpg"
"12-wol";"December";"12월";"UNKNOWN";"Music video for the song December by Jang Heewon.";"Music";"1";"2021/12/02";"2021.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"3";"https://cdn.myanimelist.net/images/anime/1421/121681.jpg"
"Pyeheoga Doenda Haedo";"Even If Things Fall Apart";"폐허가 된다 해도";"UNKNOWN";"Music video for the song Pyeheoga Doenda Haedo by Lee Seung-Yoon.";"Music";"1";"2021/12/08";"2021.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"4";"https://cdn.myanimelist.net/images/anime/1294/121683.jpg"
"Tekken: Bloodline";"UNKNOWN";"Tekken: Bloodline";"Action";"Thanks to their family's martial arts style, Jin Kazama and his mother, Jun, have had to overcome all sorts of challenges. But even with their strong bond, the two are no match for the terrifying demon that invades their home, harboring a bloodlust for Jun. Cornered by such a stubborn creature, Jun commands Jin to find his grandfather, Heihachi Mishima, before she disappears along with the demon in an explosion.

Jin arrives at his grandfather's abode, only to be treated like a stranger from a different bloodline. However, upon discovering that Ogre was the demon behind the Kazamas' tragedy, Heihachi takes Jin under his tutelage and begins to train the young man rigorously. With a flaming vengeance, Jin turns his blood, sweat, and tears into strength for his fists—all for the sake of Ogre's demise.";"ONA";"6";"2022/08/18";"2022.0";"Finished Airing";"Bandai Namco Entertainment, Netflix";"UNKNOWN";"Studio Hibari, Larx Entertainment";"Game";"25";"https://cdn.myanimelist.net/images/anime/1842/127170.jpg"
"Bloomy*Cafe";"Bloomy*Cafe";"Bloomy*Cafe";"UNKNOWN";"CG shorts included in Aikatsu Planet! Mirror In☆Lab variety show.";"ONA";"25";"2021/09/09";"2021.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Game";"5";"https://cdn.myanimelist.net/images/anime/1643/121685.jpg"
"Mahoutsukai Reimeiki Mini Anime";"The Dawn of the Witch Mini Anime";"魔法使い黎明期 ミニアニメ";"Comedy, Fantasy";"Mini anime for Mahoutsukai Reimeiki released on the official Twitter.

Includes an extra collaboration episode with Machikado Mazoku.";"ONA";"21";"2022/03/19";"2022.0";"Finished Airing";"Tezuka Productions";"UNKNOWN";"AQUA ARIS";"Light novel";"1";"https://cdn.myanimelist.net/images/anime/1307/122172.jpg"
"Mo You Ji";"Biography of the Mutants";"魔游纪";"Fantasy";"No description available for this anime.";"ONA";"12";"2022/09/27";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Unknown";"20";"https://cdn.myanimelist.net/images/anime/1765/126793.jpg"
"Bastard!! Ankoku no Hakaishin Part 2 (ONA)";"Bastard‼ Heavy Metal, Dark Fantasy Part 2";"BASTARD!! -暗黒の破壊神-";"Action, Adventure, Comedy, Fantasy, Ecchi";"Second half of Bastard!! Ankoku no Hakaishin (ONA).";"ONA";"11";"2022/09/15";"2022.0";"Finished Airing";"Warner Bros. Japan, Shueisha";"UNKNOWN";"LIDENFILMS";"Manga";"25";"https://cdn.myanimelist.net/images/anime/1661/121731.jpg"
"JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2";"JoJo's Bizarre Adventure: Stone Ocean Part 2";"ジョジョの奇妙な冒険 ストーンオーシャン";"Action, Adventure, Supernatural";"Thrown into solitary confinement after a daring rescue attempt, Jolyne Kuujou fights to uncover the sinister plot of Whitesnake, an enemy Stand whose mysterious wielder remains unknown to her.

Whitesnake's user is actually Enrico Pucci, priest and chaplain of Green Dolphin Street Prison. Pucci shares a deep connection with a villain who once plagued the Joestar bloodline, making his feud with Jolyne and her father, Joutarou, a personal one. Intent on executing the master plan of his deceased friend, Pucci uses the prison and its inmates to fulfill his nefarious schemes.

Assisted by fellow prisoners, like Ermes Costello and Foo Fighters, Jolyne battles several enemy Stand users. As the ramifications of Pucci's plot spread beyond the confines of the prison and begin to threaten the rest of the world, Jolyne embraces her family lineage and risks her life to put an end to evil.";"ONA";"12";"2022/09/01";"2022.0";"Finished Airing";"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha";"UNKNOWN";"David Production";"Manga";"24";"https://cdn.myanimelist.net/images/anime/1051/121959.jpg"
"Orient: Awajishima Gekitou-hen";"UNKNOWN";"オリエント 淡路島激闘編";"Action, Adventure, Fantasy";"After Musashi rescues Michiru Saruwatari from a demon, his friend Kojirou Kanemaki discovers that his father was a member of the Uesugi clan. Determined to learn more about his own past, Kojirou—alongside his Kanemaki clansmen—decides to participate in Uesugi's punitive expedition against the demon lord of Awaji Island: Yamata no Orochi, an eight-headed dragon that threatens to engulf the entire region.

However, upon joining Uesugi's military alliance, Musashi faces the harsh reality of fighting against powerful demons. Humiliated by his lack of power and inability to work in groups, he has to learn how to cooperate with his newfound allies. Meanwhile, the Obsidian Eight—a group pursuing the Obsidian Goddess that dwells within Musashi's body—resumes its hunt for Musashi, and plans to thwart the ongoing island operation. As the situation grows chaotic, Musashi and his friends must foil the machinations of the various factions conspiring to seize the Obsidian Goddess.";"TV";"12";"2022/07/12";"2022.0";"Finished Airing";"TV Tokyo, Kodansha, AT-X, Avex Pictures, bilibili, Crunchyroll";"UNKNOWN";"A.C.G.T.";"Manga";"23";"https://cdn.myanimelist.net/images/anime/1085/124639.jpg"
